format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,4bf5c1cd-8ee6-4d82-a7d5-7518b593d468,silver_dev_v2.account.current_bal_report,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/01164297-2427-4d7b-b35b-7dad2ecc9c97,2026-01-06T06:55:26.114Z,2026-01-06T09:24:02Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-e534add6-e2ca-4ead-9a7d-25254241d8da"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e4965c21-c3c2-4e3c-9d84-343f18e2d690""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,current_bal_report
delta,2b9e8c97-ee57-4b49-9820-864e186bcc24,silver_dev_v2.account.demand_draft,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/0e9cd8c2-dcfe-49b3-bda8-c2d0c52047d9,2026-03-04T23:04:42.499Z,2026-03-15T11:28:27Z,[],[],2,186808,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-5766dc8f-9d2a-4043-8045-7e87f8ddf2de"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-ad1f9ab2-62d3-4840-99fd-ed3df04d6e38""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,demand_draft
delta,4d280c32-0bf7-439d-b6d3-d3f8af4929e3,silver_dev_v2.account.range_key_table,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/107be063-f707-4906-afc1-dd3f0df05be6,2026-01-06T06:55:25.126Z,2026-01-06T09:24:03Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-3bc4d9c9-7341-4d32-8c65-52aa6cac525b"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-6093221f-5475-47de-8038-8845b30eae38""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,range_key_table
delta,7bf637a4-09eb-4851-864a-2d6c1a104709,silver_dev_v2.account.reference_currency_code,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/14cbb1e0-bd0f-4768-ae6d-7bec72d68d21,2026-03-23T11:54:15.482Z,2026-03-23T11:54:16Z,[],[],1,7630,"{""delta.enableDeletionVectors"":""true""}",3,7,"[""deletionVectors""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_currency_code
delta,301b7f0f-bad9-4109-8faf-ae3e9cd4978d,silver_dev_v2.account.pbd_account_master,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/15046364-4836-4c86-83a4-4fedce53d542,2026-03-16T12:07:56.145Z,2026-03-16T12:07:56Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true""}",3,7,"[""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,pbd_account_master
delta,28f9fbbd-bf49-4e8c-8aee-8bd462de7c83,silver_dev_v2.account.account_eod_balance,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/2ccac9f0-b654-459a-a94b-d6c5f4f658a4,2026-03-06T07:33:29.174Z,2026-03-22T07:08:58Z,[],[],2,9280603644,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-ccbe1bfd-fc5e-4707-aa66-1635962abe20"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-402841a1-0ac2-40e9-b593-406606c8bc19""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,account_eod_balance
delta,734618fa-b74b-4118-a41f-0ea58d57dcda,silver_dev_v2.account.financial_instrument,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/32574e95-407e-44d5-b929-feb2b23efc60,2026-03-04T17:40:05.344Z,2026-03-10T07:03:37Z,[],[],4,97357,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-a50a3f68-2c7f-416c-b364-16e8f9307c98"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-192ef8b4-8546-4a8a-a39a-a47f5a80c5a9""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,financial_instrument
delta,b6783c2f-7a40-406f-94a3-50c6f3b3dec3,silver_dev_v2.account.reference_financial_instrument_type,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/449d1867-cbe5-4c53-93a1-b1a6c4675c66,2026-03-03T07:40:23.754Z,2026-03-03T08:00:44Z,[],[],1,1303,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-86556d61-f862-4215-90ea-1280ed3a6966"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-a2dfc515-f993-4406-b177-764cb0ffae5f""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_financial_instrument_type
delta,68190cec-0d46-418e-b367-87c58775d276,silver_dev_v2.account.ccod_account_master_table,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/4cb9860f-2e41-4ab0-b052-36679f64e0ad,2026-01-06T06:55:22.976Z,2026-01-06T09:24:02Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-80c9ebeb-864d-40a8-a0d2-7eb70239e18f"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-964bcd75-dd70-4fbc-ac96-4b9e54ea8f37""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,ccod_account_master_table
delta,cbd34412-f49e-4825-a44f-0779f081248e,silver_dev_v2.account.reference_demand_draft_stop_status,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/52079589-e4d9-4ec2-9fe2-d937f277e85d,2026-03-03T07:40:22.126Z,2026-03-15T11:00:33Z,[],[],1,1310,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-71d0104d-0767-471b-9e73-0b2f8138234c"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-3dbf08f5-b5c4-414a-9ca9-c7d8be286b5b""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_demand_draft_stop_status
