format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,485d1eb4-2a88-4ce7-8c2e-a1274c888259,silver_dev.application.application_feature,"The table contains data related to application features, including their start and end dates, associated application IDs, and various attributes such as amount, rate, and quantity. This data can be used to track the lifecycle of application features, analyze feature usage over time, and assess the impact of different features on applications. It also includes flags for active status and timestamps for creation, updates, and deletions.",abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/04e14a8d-995c-4216-b097-dc9a70c994cf,2025-09-09T03:11:35.734Z,2025-12-11T11:03:42Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-87c8b3b4-123d-47b7-a512-4e068b4800ff"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-d5ee013a-8166-4ae8-b22b-b17d06030fb3""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,application_feature
delta,e6cf0a78-344e-4aeb-b0d3-f82db830a878,silver_dev.application.reference_security_type_code,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/080513c3-4880-4611-8373-f15a75303b98,2025-08-14T04:25:30.029Z,2026-01-21T07:26:29Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-db9ea5f4-5901-40e1-83d9-bf8455029afb"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-7b4166fb-63ae-4684-9edf-b059096f71db""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_security_type_code
delta,94a2c9a4-ba65-41b6-b1d6-6cccaeb0a0f3,silver_dev.application.application,"The table contains data related to applications processed within the organization. It includes details such as application dates, customer information, application status, financial metrics, and scoring indicators. This data can be used for analyzing application trends, assessing customer profiles, evaluating loan performance, and understanding the overall application process.",abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/088702aa-fde7-444d-86e1-ff127fcd5212,2025-11-04T09:15:07.323Z,2026-03-02T05:21:58Z,[],[],2,34874225,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-78f24f79-e811-43f1-b9ad-cae5731398b3"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-37d78f5a-4a6b-4df4-984a-f2ecc6b1f010""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,application
delta,6999a61d-1811-4724-89fb-c7ed33617d9c,silver_dev.application.reference_own_home,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/0a980fb4-f65a-4260-a624-f70af5a7e594,2025-12-11T10:55:15.265Z,2025-12-11T11:03:33Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-844af6b8-7d20-401a-a374-105e96067155"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-03668d62-c729-4d02-8f60-8f42d5dc99a4""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_own_home
delta,ba57ae1e-2566-4129-8303-ee5f036bddcf,silver_dev.application.reference_application_ruleengine_cards_decision_history,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/0e25ac1c-e2a4-4df2-83aa-d37530018b7c,2026-04-24T10:25:53.528Z,2026-04-24T10:25:53Z,"[""InsertionOrderId""]",[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-fb2ef11d-2375-4277-957d-ecd5d9a0db71"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-ba4295a9-8a47-404a-a240-20c2204d968e""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_application_ruleengine_cards_decision_history
delta,3223e5c6-1dd8-4955-bb92-6873e46824cd,silver_dev.application.reference_id_type,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/111c54ac-938c-40cb-bbb9-81ddd566684f,2025-06-30T06:43:58.641Z,2026-03-02T05:22:10Z,[],[],2,10026,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-1390bf0e-db19-48a7-b15a-99bd05909d36"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-d382a73d-ca33-4437-91ad-c0518cd7e472""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_id_type
delta,8cd50e02-c301-404c-a7e5-959192008a04,silver_dev.application.reference_application_ruleengine_cards_score_final,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/12716005-2f0e-4fc8-8971-1ac4f63956ae,2026-04-21T12:51:52.639Z,2026-04-24T07:37:26Z,"[""ID""]",[],69,197628,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-90d864f7-77e5-4eb4-931b-e399ca3be168"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-ec41d562-fa15-49a9-b57c-244169cd439b""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_application_ruleengine_cards_score_final
delta,5d437d97-f3b6-4cb9-80c9-6b953ce6006c,silver_dev.application.reference_interest_index,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/13a64a68-feef-4415-8bc2-05f174f74884,2025-08-14T03:21:15.797Z,2025-12-11T11:04:18Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-ca7e7733-687a-4f30-b1df-18d37d00fa2c"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-5678ad51-9ac2-4877-bf82-0d3dceecc0c8""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_interest_index
delta,b785f020-8cc9-46ce-9461-223ddd10e22a,silver_dev.application.application_loan_ib,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/1d374cf0-ad6b-469a-928d-45d497efefbd,2025-12-10T19:02:05.193Z,2025-12-11T11:04:31Z,[],[],1,24957472,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-5999d93b-3a9d-4952-ad91-b21b47d7b554"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-6f406f7a-b2c2-4028-8545-b1a7943f7940""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,application_loan_ib
delta,5ba0ca73-325b-4f68-83ab-cbbab0a9f7d2,silver_dev.application.reference_application_ruleengine_cards_rejectionreasonsbase,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/1d57e196-8811-4504-9319-24160396da84,2026-04-24T10:28:23.663Z,2026-04-24T10:28:23Z,"[""REASON_CODE""]",[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-51099306-53a9-4d03-9b33-326259c3348c"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e6bab85c-f4f9-4f2d-8e20-198f273b7e71""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_application_ruleengine_cards_rejectionreasonsbase
delta,5ea81785-2a05-44d3-bd2f-bce45f2f5f87,silver_dev.application.reference_application_status_reason,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/22148902-8a6d-4e92-a20c-b33839c3324f,2025-07-10T14:01:19.328Z,2025-12-11T11:04:38Z,[],[],1,3393,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-1def2a21-d2da-4d9d-a2d9-332d32d34ac4"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-463247a8-c24f-46ec-8940-42e3f97be111""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_application_status_reason
delta,4337eb0a-3a15-4c6b-9923-6fb84b255a47,silver_dev.application.reference_account_status,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/223e8e32-e42b-46ee-87ec-d9538067a292,2025-12-11T10:54:57.812Z,2025-12-11T11:03:24Z,[],[],1,28671,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-419321c0-e062-441e-8750-2e9d8e9964d8"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-deb07677-3fe1-4ea8-911c-752399ecfc2a""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_account_status
delta,390c8a64-dc4c-4bc6-9431-d512d3c584af,silver_dev.application.reference_application_status,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/234f5fd6-bcb5-4acd-a072-c7e7ac2cd6fe,2025-07-11T04:20:25.061Z,2025-12-11T11:04:37Z,[],[],1,5993,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-07ae1cc3-ee9a-4a7c-b467-8eea3b58f74e"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e0399858-3e49-4df8-9260-2c8c61196200""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_application_status
