format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,b687f9a7-68a7-4970-9fe7-6dd7a7ff7dea,silver_dev.credit_card.reference_agreement_status,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/00a79b19-8532-45d9-9926-81ce717b7811,2025-12-11T10:21:39.129Z,2026-03-02T05:19:00Z,[],[],2,2427684,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-49a95809-7598-40de-b71d-6c7ff9978e20"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-43149601-4d38-42d6-8310-8b0171bfad57""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_agreement_status
delta,2245b0ae-dd3c-4f8e-8fef-334718b0f4b6,silver_dev.credit_card.reference_transaction_code,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/0845663c-182b-4c75-a416-4ff2b64aacb4,2025-06-23T06:44:55.309Z,2025-12-11T10:48:52Z,[],[],1,5175,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-0f38a8fd-1a6b-4ccd-abee-36a79c8f86ae"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-3ee46814-1938-43db-9407-28ebadd6dd6d""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_transaction_code
delta,0883aea0-d6dd-4431-a793-538d76ab6a28,silver_dev.credit_card.credit_card_account,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/09d7b11f-d2e8-4b37-b883-1184d7941e41,2026-02-09T06:26:15.428Z,2026-02-27T11:03:16Z,[],[],2,917476017,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-66b1925f-93a1-430f-894f-c11fe7dac4aa"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-b6a1b0e9-fcfd-4dfd-a95c-134e03384c17""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,credit_card_account
delta,06423e0a-9137-449f-bb7e-a563ac20cbb4,silver_dev.credit_card.reference_account_category,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/2153711d-523a-4bfd-9fcb-17f4b43dc4cc,2025-12-11T10:02:28.409Z,2026-03-02T05:22:40Z,[],[],3,48365134,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-7bb491cc-2cd5-4322-a894-c4cc42766dea"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-592b2f37-65f1-441b-a3ad-726840f5e5be""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":234597,""numDeletionVectors"":1}",true,reference_account_category
delta,ce0ecfcc-25e5-48fa-9347-bd4a4fb212a2,silver_dev.credit_card.reference_contract_type,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/2bc74e49-7403-4e7e-a708-84b2ae386142,2025-07-29T04:19:33.124Z,2025-12-11T10:48:42Z,[],[],2,366803054,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-8f573476-38dc-4f3e-b5b6-3f1b0362fa53"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-3a682d54-a64b-4b6b-9f98-ad13e5cd8384""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_contract_type
delta,acf1a922-3ae6-4022-b739-754606ace874,silver_dev.credit_card.reference_monitor_status,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/2f640be3-8c9b-4a0a-ad02-8e65effd3f54,2025-12-11T10:26:37.009Z,2026-03-02T05:19:08Z,[],[],12,44127,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-d5300718-bcc2-4cb1-9d2b-fe72d2c5a07c"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-f0b6fdba-16cf-4f5c-809c-51189f0c3446""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_monitor_status
delta,ae1c2037-6f2b-43b8-b172-e6f8db38a829,silver_dev.credit_card.reference_account_status,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/3f72de7e-3045-4d50-ae49-ec07687c0db4,2026-01-02T07:44:56.107Z,2026-01-19T16:53:28Z,[],[],4,28500775,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-684a3dd5-4d4d-41c4-a69f-27bf7ed39520"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-ac45cf5b-c018-4fb1-9c93-3b30c9371202""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_account_status
delta,c2fe8df4-80cd-471b-abe5-db71698a5f70,silver_dev.credit_card.credit_card_event11,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/440266cc-184f-42f4-a3b8-c58f920c42ad,2025-08-21T03:37:27.939Z,2025-12-11T10:49:09Z,[],[],1,51105297,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-dd9e8489-d036-40d6-b8ad-8edd2d821dfe"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e2ed09e4-4340-4ccc-9bb1-307a793e12de""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,credit_card_event11
delta,d0e60321-2094-4d36-b93b-4b7014099ffb,silver_dev.credit_card.reference_behaviour_score,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4a7d50fd-402d-4c28-b9fe-755f323b9bec,2025-09-13T09:01:19.664Z,2026-03-02T05:19:02Z,[],[],5,301304,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-c2eb2449-d134-4836-9f53-8bdcd20248b9"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e677b1bb-0f1d-4ba3-b7e0-ea4b4ed1249c""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_behaviour_score
delta,873f48b1-daf0-4db8-a89c-2ad3f8c02946,silver_dev.credit_card.reference_service_program,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4bbe2811-0c93-463d-a40a-9b54bf305745,2025-12-11T10:26:45.065Z,2026-03-02T05:19:20Z,[],[],2,7146,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-feb63d92-39ef-4568-b69d-09e40e92dd1a"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-7b922c04-0ab7-4fc8-86a5-97d16c0682de""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_service_program
