format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,29ff5d00-3849-4b8f-91f6-38f0e1074049,silver_dev_v2.customer.reference_country,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/19dab849-bfe0-46da-b443-3a26d430d1f0,2026-03-13T12:39:54.792Z,2026-03-13T12:39:56Z,[],[],1,6865,"{""delta.checkpoint.writeStatsAsJson"":""false"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true""}",3,7,"[""appendOnly"",""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_country
delta,51930903-c416-4f20-8c67-ac0c5b0938cb,silver_dev_v2.customer.reference_customer_type,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/29fc8279-4e62-4bae-ab54-69ffa2850ae2,2026-03-13T12:43:37.715Z,2026-03-13T12:43:38Z,[],[],1,3233,"{""delta.checkpoint.writeStatsAsJson"":""false"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true""}",3,7,"[""appendOnly"",""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_customer_type
delta,0b912613-c2a5-4fff-9de9-38797732fd2f,silver_dev_v2.customer.customer_documents,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/2fc4c08e-5d64-4dad-82c9-cfb229f9aba2,2026-01-06T09:18:25.272Z,2026-03-10T11:20:31Z,[],[],1,36424828,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-97574339-7721-4034-b006-1caefda0ff03"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-cee43617-b2f5-4ae0-9d4f-2c24330c0138""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,customer_documents
delta,42bae27c-a800-490a-ae24-354aac05af74,silver_dev_v2.customer.customer_preferences,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/37c0c736-8a09-422f-bb2a-3ecd1c865db4,2026-04-13T07:31:38.318Z,2026-04-13T07:31:38Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-cc963c89-2553-402c-96c0-0af628e7a1b1"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-6af40dd3-d5cc-4c33-bd2e-ac5b439f818c""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,customer_preferences
delta,a6d0374b-05c0-43a8-9b9c-fc0e24e72096,silver_dev_v2.customer.customer_contactinformation,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/56a47a71-4a26-4b3e-a79b-8b0b9aa2638d,2026-01-06T09:14:55.283Z,2026-01-06T09:16:48Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-a52a1ad4-ad37-4806-954f-4658423b55b6"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-9e1834f0-eb27-4eec-9136-e1a84c69ffb2""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,customer_contactinformation
delta,265cb9ef-8a47-4567-ae6b-4cea2943b989,silver_dev_v2.customer.customer,"The table contains detailed information about customers, including their identification numbers, names, and various status indicators. It can be used to track customer demographics, monitor customer relationships, and manage customer statuses such as VIP, suspended, or blacklisted. This data is useful for customer relationship management, compliance checks, and understanding customer history.",abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/587e12c8-e390-46d2-bdcf-d31de3442aba,2026-04-13T04:56:46.978Z,2026-04-21T11:30:54Z,[],[],3,256833338,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-27544307-f17f-49f7-81f4-f6fa9cb10598"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.columnMapping.mode"":""name"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.columnMapping.maxColumnId"":""190"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-b3a98260-8580-47d2-aa49-4bc343b166b6""}",3,7,"[""appendOnly"",""changeDataFeed"",""checkConstraints"",""columnMapping"",""deletionVectors"",""domainMetadata"",""generatedColumns"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,customer
delta,59706333-454c-42fb-a2fb-0cd5449796a3,silver_dev_v2.customer.reference_segment,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/6218370b-2e2c-48de-85f3-15a585fc1ccb,2026-03-02T08:35:28.015Z,2026-03-02T08:35:49Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true""}",3,7,"[""deletionVectors""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_segment
delta,27c8e2a8-67fa-49e5-91b1-890503b87d6e,silver_dev_v2.customer.credit_limit_liability,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/65f8e51d-aec3-43da-b204-93174b90a3fe,2026-04-13T06:01:38.334Z,2026-04-13T06:01:38Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-47531708-50c8-4112-a283-403519af27bb"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-c51f5c22-efd5-4d1d-9443-311d46e580a0""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,credit_limit_liability
delta,60975685-5271-4252-9dbd-5764bd5c805c,silver_dev_v2.customer.customer_demographics,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/cd3fdaa4-74a1-4849-9f2e-bb874319a768,2026-04-13T07:30:17.957Z,2026-04-13T08:05:14Z,[],[],3,111229600,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-5f6e57e8-d567-48f4-a369-ba9a347c2290"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-020a273e-5efd-4ade-baee-95af675b283f""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,customer_demographics
delta,51e8cf4f-3d2b-4e58-b900-4b92758bb3a1,silver_dev_v2.customer.customer_relationships,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/d1114193-46a0-4c2a-b65b-e70469487fe7,2026-01-06T09:21:40.974Z,2026-03-25T09:35:02Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-05f1f338-0ccd-4ca9-a2d0-3d169138e988"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-ff812baa-0291-4f86-94a6-31c783176d5e""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,customer_relationships
