format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,00bbc016-3909-402e-a9c7-c1778d3bcfe8,silver_dev.customer_riskrating_scoring.reference_lkp_inquiry_purposes,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/040afe72-8a8f-46f6-b311-acbfeddc1b3f,2026-04-08T06:52:30.605Z,2026-04-21T12:49:30Z,[],[],4,20966,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-8f978a92-0a5e-45ba-82b4-79b470e13f27"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-36ca6259-afcf-4023-8c48-9c2fbb9ab43d""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_lkp_inquiry_purposes
delta,cfbeb582-4b07-4990-85a3-456927fd0d5b,silver_dev.customer_riskrating_scoring.reference_titlehistory,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/064e3044-00e2-44e3-aa69-a186146c396e,2026-04-08T06:52:53.071Z,2026-04-21T12:49:18Z,[],[],4,16598,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-6af0e479-a39d-4d44-b055-aeafee59526e"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-61dc1aa8-125a-41e5-b10f-999f87f8fc5b""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_titlehistory
delta,cf19db3a-0572-465f-91bd-6d24ef0ecf19,silver_dev.customer_riskrating_scoring.reference_aggregated_pipelines,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/0f593a49-b9a1-4ab3-b67a-03591d6788fe,2026-04-08T06:52:50.706Z,2026-04-21T12:49:43Z,[],[],4,3852365,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-f523c562-ae02-4c5d-b61e-85daa40cef97"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-36c9f362-29df-458f-a8b8-c34e6663f280""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_aggregated_pipelines
delta,d9102e16-7fba-49c2-987b-955472ac264d,silver_dev.customer_riskrating_scoring.reference_paymentorder,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/1ef5ec90-defc-497e-9d24-184ebd76181f,2026-04-08T06:52:39.052Z,2026-04-21T12:49:56Z,[],[],4,25294,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-6f3ac55d-bf42-436e-9a6e-854d1857aea6"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-8a082699-981d-41a8-982f-35c09b0b4421""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":7,""numDeletionVectors"":1}",false,reference_paymentorder
delta,742bf885-3531-4390-9547-1caf4757799c,silver_dev.customer_riskrating_scoring.reference_financialsummary,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/2937a8f4-f2d8-48c2-a521-e29a40c6e591,2026-04-08T06:52:55.089Z,2026-04-21T12:49:57Z,[],[],2,41865,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-22418d1e-77f3-4930-8fbf-d3956f7787bf"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-6cf02135-462f-47ad-9db7-4fd8e49a72e0""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_financialsummary
delta,22edc85d-4427-468c-a8b9-13a89f5f4b48,silver_dev.customer_riskrating_scoring.customer_riskrating_and_scoring,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/3885e852-b217-4dfb-987c-7337d49d8992,2025-09-14T19:15:32.149Z,2026-03-24T14:20:34Z,[],[],1,5071,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-4da876cf-7189-483d-8d51-365728e5dcd1"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-799258f7-75ec-4146-9981-1e3ecf0dd179""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,customer_riskrating_and_scoring
delta,b955dbb0-3775-4b20-ab04-e76f12ee57c5,silver_dev.customer_riskrating_scoring.reference_history48months,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/3f64d44a-47e8-462d-aee1-5441b70013d1,2026-04-08T06:52:25.839Z,2026-04-21T12:49:24Z,[],[],22,1220154,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-ce39f545-e351-4774-87e9-7a83316102ca"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-645a836f-d40e-48a0-93d3-bae70d464933""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_history48months
delta,efb8ecf5-fcf5-42a0-8f8a-d6c154b0f57b,silver_dev.customer_riskrating_scoring.reference_salarycredits,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4c624f2d-fe96-4bc7-8014-bb55ea01f070,2026-04-08T06:52:33.774Z,2026-04-21T12:49:11Z,[],[],4,22181,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-020bfef5-a928-457a-b854-48474bc82eb2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-0d1014f4-f090-47c8-abc5-41aa54d639ec""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_salarycredits
delta,28efa9a4-90f7-43c7-b911-183aab8f8970,silver_dev.customer_riskrating_scoring.reference_custinfo,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4e33c871-2da3-4412-abcc-d68e5021c923,2026-04-08T06:52:36.941Z,2026-04-21T12:49:26Z,[],[],4,4006825,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-4d253017-4bdf-4fd9-880a-1e435b979319"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-8284366e-82fe-44bd-b048-1b39daa92ff8""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_custinfo
delta,9b2d693c-740a-49d9-b53d-dc23b6960602,silver_dev.customer_riskrating_scoring.reference_inquiryresponseheader,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/677d20b4-3cfb-49b7-a3da-bdc9f8db1094,2026-04-08T06:52:27.149Z,2026-04-21T12:49:59Z,[],[],2,135113,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-f9b58cd0-9ae3-4724-aa50-73395d3d090a"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-de7c9ff4-2510-4410-8aa8-c23783035721""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_inquiryresponseheader
delta,be5a9eaf-8a82-4eaf-add4-ce4d60db9efa,silver_dev.customer_riskrating_scoring.reference_bulkportfolio_characteristics,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/680a0c52-556f-4a7b-9283-f364ecf529f3,2026-04-08T06:52:31.643Z,2026-04-21T12:49:26Z,[],[],4,117156,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-10773709-0770-4d46-bbcb-a561f001fb79"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-d6be7214-176c-469c-9ea8-d2fcf9da061b""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_bulkportfolio_characteristics
delta,21df78cc-9a15-46c3-809c-9430126b6839,silver_dev.customer_riskrating_scoring.reference_nameenhistory,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/6a9ec701-22f8-41e1-960c-81b8e91b76b2,2026-04-08T06:52:41.193Z,2026-04-21T12:49:36Z,[],[],2,28015,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-188e6417-e45f-46cb-9fa1-ef0634d8f625"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-acf8b78c-b86f-4f61-954a-12e07e8e577d""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_nameenhistory
delta,52995abd-c886-44d0-b1ce-9933fe74aa84,silver_dev.customer_riskrating_scoring.reference_bureau_source,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/6e1b07ba-6d08-4b5a-a9f5-8e2d5b69054f,2025-12-29T11:07:28.654Z,2025-12-29T11:07:28Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.writePartitionColumnsToParquet"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-be4c08a2-1871-47a6-80c0-a17d71ea16e1"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-c657f60b-0016-40ea-9750-d638607f83f7""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_bureau_source
