format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,03268f58-7c5b-4518-b372-50b9afc73a89,silver_dev.deposits.reference_currency,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/0231b048-363d-41bf-bdb7-5ee11d13e056,2025-09-01T05:08:15.305Z,2025-12-11T14:01:15Z,[],[],1,7695,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-18e91453-0a08-4d96-af94-b4f52ad371c2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-c168b1ec-3004-4505-9571-e38dd2599b01""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_currency
delta,7418b717-1fb0-49a4-9325-82789dee0160,silver_dev.deposits.interbank_event,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/095f6e60-db2e-4052-8955-ce8f4d375f2c,2025-08-26T15:16:57.056Z,2025-12-11T14:01:13Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-3e16c930-c575-4bb8-868e-81b93dfd9177"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-066f61bc-5e84-4eaa-8a82-76ca53dadc0b""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,interbank_event
delta,5421ad81-6855-41b7-a1ce-e1fa1845d221,silver_dev.deposits.reference_exchange_rate,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/294c6305-7f3f-4a1c-af98-d037e6868b52,2025-12-11T13:45:19.561Z,2026-02-25T14:08:48Z,[],[],2,9890,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-7294d6f6-8895-4b42-9e29-ff4034fece78"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-931bbd42-19f5-4420-b38c-3dba38177402""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_exchange_rate
delta,fdee12b5-2cca-4316-834e-fccfa473f197,silver_dev.deposits.deposit_slip,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/29605545-60f7-44f4-be1a-0e4095a4f58e,2025-09-13T14:54:17.128Z,2025-12-11T14:01:11Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-aafd7bcb-3d6e-4c74-81e7-e2bd51124d9c"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-79c4027e-fc7f-4c0f-b655-047ec7a8088d""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,deposit_slip
delta,14bd0546-8956-44bb-afc6-f59c98133d9f,silver_dev.deposits.safe_deposit_account,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/29e392d3-01d4-4430-be80-7ec51b2369a0,2025-12-11T13:45:25.228Z,2026-02-25T14:08:25Z,[],[],5,31367208,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-203f744a-f07b-46d6-847f-da2777a499c5"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-a681c4b5-d609-4d11-a7db-a6deec106cf2""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,safe_deposit_account
delta,3769b0c1-b3c7-4612-8a0f-ca0fca7a05d3,silver_dev.deposits.deposit_gl_account,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/302714e3-e743-4768-ae21-8d6ba3ef5434,2025-09-02T12:20:31.312Z,2026-02-25T14:08:51Z,[],[],3,29608,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-11dc7d87-1ad3-4b2d-8c54-c4da671894ee"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-0624ec0c-f92e-46f3-97e3-fe94d637a473""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,deposit_gl_account
delta,69f5de75-eba3-4898-ad9b-dffa26771f55,silver_dev.deposits.financial_event,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/36c47e82-9692-461c-8668-be677f425c74,2025-12-11T13:45:14.034Z,2026-02-25T14:11:03Z,[],[],1,4939,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-c67075fa-4506-40d5-bc4e-ca78827dd78e"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-0860f48d-a263-4deb-a771-45b27c6b302f""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,financial_event
delta,1603f1c3-d8bd-4a44-b035-01a3e435da9d,silver_dev.deposits.term_deposit_transaction,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/3e0b9e35-7a15-4d3d-9c1c-33667569d862,2025-09-25T08:43:40.816Z,2025-10-03T06:56:35Z,"[""Transaction_Id""]",[],916617,7618681145,"{""delta.checkpoint.writeStatsAsJson"":""false"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableDeletionVectors"":""true""}",3,7,"[""appendOnly"",""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,term_deposit_transaction
delta,69c4f7bb-7e87-487f-9141-453fe28ff224,silver_dev.deposits.electronic_channel,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/470a8bc3-9bb4-42ab-b0b0-b0f4a0d0e3f5,2025-09-13T10:13:10.074Z,2026-02-25T14:08:57Z,[],[],1,2415,"{""delta.checkpoint.writeStatsAsJson"":""false"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableDeletionVectors"":""true""}",3,7,"[""appendOnly"",""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,electronic_channel
delta,72472dbf-4518-4816-b834-7f71bba2e7fa,silver_dev.deposits.collateral_item_class_association,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4e8d9c5d-ace2-4257-9eeb-7c79d8cde336,2025-09-15T10:24:59.203Z,2026-02-25T14:08:32Z,[],[],13,8527070,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-a34f3e77-df6c-407c-a1a5-2478e0a6bda8"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-20824392-d127-407d-a72f-ba08b36d1553""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,collateral_item_class_association
