format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,cee5b567-d690-4862-a504-d83ecceb1556,silver_dev.investments.cash_at_other_banks,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/122b89f8-74f0-4345-9db9-f7cc5c996ba7,2025-08-26T05:28:41.726Z,2025-12-11T12:47:46Z,[],[],1,15359,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-71052225-1c38-458b-a6c0-fb4676a3b0a0"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-c123dd87-c2ce-4185-af84-28b44f5bdad2""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,cash_at_other_banks
delta,27eb6bd2-1254-44a7-a329-b8a1fdb0cc21,silver_dev.investments.foreign_exchange_agreement,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/25730cfc-9d2b-4a3e-b101-a2526020c9b8,2025-09-14T10:51:58.897Z,2025-09-14T11:09:10Z,"[""Account_Number""]",[],269,960126,"{""delta.checkpoint.writeStatsAsJson"":""false"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableDeletionVectors"":""true""}",3,7,"[""appendOnly"",""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,foreign_exchange_agreement
delta,1f2fe96c-5df2-4873-973c-52105c137079,silver_dev.investments.swap_leg_cash_flow_feature,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/27cbe860-4fa1-4fb7-8884-eed7d213577f,2025-08-25T19:23:36.994Z,2025-12-11T12:47:39Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-e60b1662-1dc2-4c43-8d6a-c4829628ae4d"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e890d4f0-df22-4b4f-b974-bbfd12fa11b7""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,swap_leg_cash_flow_feature
delta,9d495f26-ee5c-438a-b42a-ea646a75ec35,silver_dev.investments.security_holding,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/2c65d8df-a13a-4d08-8a59-8043ca718086,2025-12-11T12:45:15.654Z,2025-12-11T12:47:16Z,[],[],1,24159,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-750706fd-904b-4df6-a52d-4f32601172b8"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-0ed034be-8f9c-41b5-84ba-ef0a4213fe6c""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,security_holding
delta,876851e0-f5bb-4003-9e58-2a189e8cb092,silver_dev.investments.stock_history,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/3ad1a54a-c720-4b2c-8c4e-5ece23b625ae,2025-09-13T12:05:05.653Z,2025-12-11T12:47:34Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-3a72a1a6-4f34-41de-a7e1-f5f0310e6532"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-0da5be23-4bc7-4668-be25-60da23c893aa""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,stock_history
delta,5468fe64-8f8e-482e-b668-a880c1158f49,silver_dev.investments.investment_product_event,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/3f5075d6-4615-4211-8ed5-5d5b759dba75,2025-09-13T10:55:33.946Z,2025-12-11T12:47:25Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-82518be8-41ab-48c3-ada8-d01d6c9d11e2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-7de5c9b8-6df5-48f6-baed-4afabe0fb703""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,investment_product_event
delta,ac2bc711-af95-4123-b6b8-1ccc48e4afd7,silver_dev.investments.application_investment_detail,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/42e7ea86-73dd-4c5d-bea1-02865495350c,2025-09-14T05:39:26.953Z,2025-12-11T12:47:18Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-a51b37cd-4a21-4179-916c-55cfdc0c8e3a"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-97471014-7870-4f88-9e0f-0ed66b8a32a9""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,application_investment_detail
delta,745a7b5d-978f-437a-9c91-f564655878c9,silver_dev.investments.forward_futures_agreement,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4591b6c6-e85c-42db-99e9-5fc81804e6a6,2025-09-01T02:55:03.308Z,2025-12-11T12:47:46Z,[],[],1,5144,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-d029d99f-3567-4aab-a3e5-a363545ffe18"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-2d93f7f7-eb1b-4255-ab44-7de7f909d4ba""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,forward_futures_agreement
delta,05fa3575-34d8-4220-a3d5-56261927f86c,silver_dev.investments.option_agreement,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/49867130-b194-42a0-8213-7503245a8023,2025-09-14T12:46:43.05Z,2025-12-11T12:47:26Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-872b816f-0a6c-4216-9a0f-88af3899c9dc"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-63609fd2-7cb7-4e65-8cdb-48fc9f3f0be9""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,option_agreement
delta,c80bfdb0-a841-4a07-8308-e1de3f6367f2,silver_dev.investments.reference_transaction_code,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/4ff85d8d-98fe-4734-8920-da8ebb681d96,2025-08-31T18:27:26.298Z,2025-12-11T12:47:49Z,[],[],1,5370,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-bf3aa874-a0a8-44bb-86e0-85c6827f200d"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-5a21d04e-6ef4-47a7-b04c-20467555d751""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_transaction_code
