format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,bf39b19b-8275-4c16-a1fc-ea7ec8697d14,silver_dev_v2.loan.loss_given_default_detail,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/2aafdde5-9f6e-4fef-9bef-713090ba683d,2026-04-19T09:54:52.45Z,2026-04-19T10:21:39Z,[],[],1,15001074,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-e80ceb8e-165f-48b3-8986-db15b60bdfb4"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-9f28e211-81c3-4643-a597-f6f95c0e8393""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,loss_given_default_detail
delta,36db30be-f9f8-4d2a-b37a-b86424c2bf15,silver_dev_v2.loan.reference_product_loan,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/4109ae57-747d-4657-a8bf-6a0ac19e62fd,2025-12-09T12:53:41.963Z,2025-12-09T12:53:42Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-e24c469f-54ab-43d3-96c4-e752d33a0ad7"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-d9d3e97b-771f-444c-873d-8d13448900d8""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_product_loan
delta,ab55e009-101c-415a-b948-d4151880fc2c,silver_dev_v2.loan.account_loss_given_default_detail,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/440eaa2a-1e0e-4080-bcf3-0d06055d3106,2026-04-19T09:55:10.548Z,2026-04-21T10:12:36Z,[],[],2,734810,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-51c17981-ffe7-4f83-af76-4bea56f789a0"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-e1ed51c3-c263-4cd5-8a07-828afd52b0a3""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,account_loss_given_default_detail
delta,76642b5e-183b-4be5-af3f-862e984d1524,silver_dev_v2.loan.pbd_hio_loan_account,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/46ab17a7-5821-459f-9792-1767961ae2ce,2026-03-16T12:07:49.844Z,2026-03-16T12:07:50Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true""}",3,7,"[""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,pbd_hio_loan_account
delta,7b4640d9-1ff1-4f9e-a33c-e51b2bd3adb1,silver_dev_v2.loan.loss_given_default,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/4818f9ad-beb9-4393-8d59-667525bc309a,2026-04-13T03:53:15.28Z,2026-04-13T09:59:33Z,[],[],1,11248449,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-050c2e33-230b-4ab4-9f76-0862c578e42e"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-fcc1a49a-011f-4215-9137-faae9118e819""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,loss_given_default
delta,de13f7e1-0751-4662-95ec-db9257c3a4f8,silver_dev_v2.loan.loan_account_master,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/4f018055-9e14-455f-ac14-1efbb7fd6b30,2026-04-13T03:52:44.925Z,2026-04-23T06:19:02Z,[],[],12,204224415,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-4c399de6-d1b2-4d66-889b-bfbe836afaef"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-1f24eca0-970c-45c0-a606-30382075283a""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":24576,""numDeletionVectors"":2}",true,loan_account_master
delta,67d6cd77-f3a6-44ec-839e-64f40f769de4,silver_dev_v2.loan.loan_transaction,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/7160201e-1566-4fbc-9438-f31097683438,2026-04-13T03:52:54.514Z,2026-04-21T10:17:43Z,[],[],3,231658,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableChangeDataFeed"":""true"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-f585fde7-4b83-4dec-9751-4161e544fbe0"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-2dc3ad27-b694-4c15-842d-bf4811aec2ea""}",3,7,"[""appendOnly"",""changeDataFeed"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":177,""numDeletionVectors"":1}",true,loan_transaction
delta,429999be-abf4-4750-b349-11edc2312c07,silver_dev_v2.loan.pbd_c3_loan,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/7d4e5ba9-51a3-4b40-93d6-3d0b57abe9c3,2026-03-16T12:07:41.984Z,2026-03-16T12:07:42Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true""}",3,7,"[""deletionVectors"",""invariants""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,pbd_c3_loan
delta,46cb2eb4-0c4c-4d34-b6ca-d6c454299bc9,silver_dev_v2.loan.reference_branch_code,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/85e8dbe0-8461-4749-935c-92b0a30943e1,2026-03-06T10:04:12.622Z,2026-03-17T11:10:56Z,[],[],4,19545,"{""delta.parquet.compression.codec"":""zstd"",""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-85d382f5-565c-4912-92fb-7e7df24acf8f"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-5cd2423e-54c0-418a-8a40-ed90c7cb4c22""}",3,7,"[""appendOnly"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,reference_branch_code
delta,36e00741-eb8f-498f-a205-7ab08b2666af,silver_dev_v2.loan.loan_term_account,null,abfss://silver@rakbankdatapdevdls001.dfs.core.windows.net/v2/__unitystorage/catalogs/d2b99210-b73b-453c-ae7b-ca8b02062d1c/tables/9ded523a-2940-408b-8546-9b383ba9b56a,2026-03-16T06:43:48.899Z,2026-03-16T06:44:55Z,[],[],6654,47517182,"{""delta.enableDeletionVectors"":""true""}",3,7,"[""deletionVectors""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",false,loan_term_account
