format,id,name,description,location,createdAt,lastModified,partitionColumns,clusteringColumns,numFiles,sizeInBytes,properties,minReaderVersion,minWriterVersion,tableFeatures,statistics,clusterByAuto,table_name
delta,b812c8df-34a7-4a5b-b405-9c60baa00077,silver_dev.electronic_channel_transaction.internet_mobile_banking_transaction,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/13b613e1-7be8-41d7-a0d5-f7b7af456ad9,2025-12-11T11:55:47.078Z,2025-12-11T12:08:56Z,[],[],1,12595796,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-beadfc1b-a1b0-4fb9-ad6b-ced00a1aaae3"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-da19d0f7-88fb-44b9-a833-372e223644d4""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,internet_mobile_banking_transaction
delta,af8da198-1dc1-45b9-a91b-44e86a1a3ddd,silver_dev.electronic_channel_transaction.reference_merchant,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/17a72509-db1e-48c1-b3e8-0de3a0b781e3,2025-12-11T11:56:52.331Z,2025-12-11T12:09:01Z,[],[],1,9686,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-496f7040-26e0-4069-8f2e-114b72ab892e"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-672dee43-3307-41ad-894f-3362fdaf1cfd""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_merchant
delta,ae9176da-18f0-4a8b-a483-ec552d34cf91,silver_dev.electronic_channel_transaction.reference_mcc,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/1960a049-2696-4e10-ad57-76e1ac999305,2025-12-11T11:56:50.385Z,2025-12-11T12:08:59Z,[],[],0,0,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-89880109-d0bd-4585-84b3-39d9589a5c9f"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-62429948-9c9a-45a4-a3fd-10dddd943549""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_mcc
delta,edc32f13-1b37-4869-8ddd-c442879150fa,silver_dev.electronic_channel_transaction.reference_bank_branch,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/54b458f9-6f8f-4db9-a616-69dc6c5630db,2025-12-11T11:56:45.192Z,2025-12-11T12:08:57Z,[],[],1,34469,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-52af34bc-307e-4a50-a8cf-a7bffac56cc1"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-2910f167-540c-41bb-9889-3e666c0bee5e""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_bank_branch
delta,17b44ac4-28c6-44c4-84de-2c0d030351f5,silver_dev.electronic_channel_transaction.electronic_channel_transaction,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/94a88563-f1b8-4687-85a8-5fe737fd9b63,2025-12-11T11:54:52.107Z,2025-12-11T12:08:55Z,[],[],1,14571082,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-45448aed-686e-4104-85d3-ef57362bc2e9"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-baa17a47-c114-4e4b-9f0c-9c5da74bf04e""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,electronic_channel_transaction
delta,38f07fb4-936c-416f-aee8-7205af0308dd,silver_dev.electronic_channel_transaction.payment_platform_transaction,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/acd4e141-631c-4f8c-a1a5-3ac2bbf8aaf4,2025-10-09T12:04:17.3Z,2025-12-11T12:09:02Z,[],[],24,2903727093,"{""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-99aa5cfd-d342-4948-8643-dcc83a018ed8"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-8dec22af-0e60-4d97-ac89-f91c03720d6e""}",3,7,"[""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,payment_platform_transaction
delta,c8e330e8-a288-40f9-9ac3-38f3462b3c85,silver_dev.electronic_channel_transaction.reference_channel,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/bc85d33d-6fe4-48b8-a5d5-faef8f296bd8,2025-09-11T16:22:18.472Z,2025-12-11T12:09:13Z,[],[],1,20901,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-f5aaf162-3fbf-4fd2-84c5-f07cd19307f2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-cbed1d15-d2d6-440e-bcf9-b8aa3c9d7b27""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_channel
delta,632b83b5-6508-434b-bec5-5620aafcf3e1,silver_dev.electronic_channel_transaction.reference_transaction_code,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/e12df2e2-593a-4262-9aee-8eab5e8a0afb,2025-09-14T20:14:30.185Z,2025-12-11T12:09:14Z,[],[],1,6919,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-c969e4fd-3c45-445c-af7a-c93067bf9384"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-919c79fb-85b0-411b-b9a5-58a84f7ff12b""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_transaction_code
delta,b82a87e6-ee9b-4e5f-ba1c-dcb4ba1791d1,silver_dev.electronic_channel_transaction.reference_currency,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/e33ad3ed-24ed-4ac2-b3cb-1c2116d9ad70,2025-12-11T11:56:47.979Z,2025-12-11T12:08:58Z,[],[],1,6508,"{""delta.parquet.compression.codec"":""zstd"",""delta.autoOptimize.autoCompact"":""true"",""delta.enableDeletionVectors"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-1a876388-886b-45ef-a891-c93b25d1459a"",""delta.autoOptimize.optimizeWrite"":""true"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-e1aa7fdd-cce8-43ca-a683-e555a43abe1b""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_currency
delta,d6c2b6c1-0460-4172-8eb2-b7c8a0e3f728,silver_dev.electronic_channel_transaction.reference_channel_type,null,abfss://silver-dev@rakbankdatapdevdls001.dfs.core.windows.net/__unitystorage/catalogs/c36638e6-a826-42ac-9620-24bed62c8227/tables/e8f9af67-9253-4550-8c38-b583046a53f4,2025-08-20T06:01:10.022Z,2025-12-11T12:09:08Z,[],[],0,0,"{""delta.enableDeletionVectors"":""true"",""delta.checkpoint.writeStatsAsStruct"":""true"",""delta.enableRowTracking"":""true"",""delta.checkpointPolicy"":""v2"",""delta.checkpoint.writeStatsAsJson"":""false"",""delta.rowTracking.materializedRowCommitVersionColumnName"":""_row-commit-version-col-30aca295-3b0e-4fec-85fa-804cf6a1f0a3"",""delta.rowTracking.materializedRowIdColumnName"":""_row-id-col-f99f371d-9861-44cd-ae19-6e0888fdcc23""}",3,7,"[""appendOnly"",""clustering"",""deletionVectors"",""domainMetadata"",""invariants"",""rowTracking"",""v2Checkpoint""]","{""numRowsDeletedByDeletionVectors"":0,""numDeletionVectors"":0}",true,reference_channel_type
